headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes
血壓,血圧,ㄒㄧㄝˇ ㄧㄚ,xiěyā,名詞,7,common,ai,word,,
寫實,写実的/リアルな,ㄒㄧㄝˇ ㄕˊ,xiěshí,状態動詞(形容詞),7,common,ai,word,,
洩氣,気が抜ける/落胆する,ㄒㄧㄝˋ ㄑㄧˋ,xièqì,状態動詞(形容詞),7,common,ai,word,,
心愛,最愛の,ㄒㄧ ㄋㄞˋ,xīnài,状態動詞(連体用),7,common,ai,word,,
心軟,優しい/情にもろい,ㄒㄧㄣ ㄖㄨㄢˇ,xīnruǎn,状態動詞(形容詞),7,common,ai,word,,
心事,悩み/心残り,ㄒㄧㄣ ㄕˋ,xīnshì,名詞,7,common,ai,word,,
心思,考え/意図,ㄒㄧㄣ ㄙ,xīnsī,名詞,7,common,ai,word,,
心酸,悲しい/切ない,ㄒㄧㄣ ㄙㄨㄢ,xīnsuān,状態動詞(形容詞),7,common,ai,word,,
心態,心構え/態度,ㄒㄧㄣ ㄊㄞˋ,xīntài,名詞,7,common,ai,word,,
心疼,愛おしい/気の毒に思う,ㄒㄧㄣ ㄊㄥˊ,xīnténg,状態動詞,7,common,ai,word,,
心胸,度量/心構え,ㄒㄧㄣ ㄒㄩㄥ,xīnxiōng,名詞,7,common,ai,word,,
辛勤,勤勉な,ㄒㄧㄣ ㄑㄧㄣˊ,xīnqín,状態動詞(形容詞),7,common,ai,word,,
辛酸,辛い/苦い,ㄒㄧㄣ ㄙㄨㄢ,xīnsuān,状態動詞(形容詞),7,common,ai,word,,
新潮,流行の/モダンな,ㄒㄧㄣ ㄔㄠˊ,xīncháo,状態動詞(形容詞),7,common,ai,word,,
新手,初心者,ㄒㄧㄣ ㄕㄡˇ,xīnshǒu,名詞,7,common,ai,word,,
新穎,斬新な/新しい,ㄒㄧㄣ ㄧㄥˇ,xīnyǐng,状態動詞(形容詞),7,common,ai,word,,
信賴,信頼する,ㄒㄧㄣˋ ㄌㄞˋ,xìnlài,状態動詞,7,common,ai,word,,
信念,信念/信条,ㄒㄧㄣˋ ㄋㄧㄢˋ,xìnniàn,名詞,7,common,ai,word,,
信徒,信者,ㄒㄧㄣˋ ㄊㄨˊ,xìntú,名詞,7,common,ai,word,,
信息,情報/メッセージ,ㄒㄧㄣˋ ㄒㄧˊ,xìnxí,名詞,7,common,ai,word,,
星辰,星々,ㄒㄧㄥ ㄔㄣˊ,xīngchén,名詞,7,common,ai,word,,
興建,建設する,ㄒㄧㄥ ㄐㄧㄢˋ,xīngjiàn,動詞,7,common,ai,word,,
興隆,繁栄している,ㄒㄧㄥ ㄌㄨㄥˊ,xīnglóng,状態動詞(形容詞),7,common,ai,word,,
興起,興る/台頭する,ㄒㄧㄥ ㄑㄧˇ,xīngqǐ,変化動詞,7,common,ai,word,,
行善,善行をする,ㄒㄧㄥˊ ㄕㄢˋ,xíngshàn,自動詞,7,common,ai,word,,
行使,行使する,ㄒㄧㄥˊ ㄕˇ,xíngshǐ,動詞,7,common,ai,word,,
行星,惑星,ㄒㄧㄥˊ ㄒㄧㄥ,xíngxīng,名詞,7,common,ai,word,,
形勢,情勢/状況,ㄒㄧㄥˊ ㄕˋ,xíngshì,名詞,7,common,ai,word,,
形態,形態/様式,ㄒㄧㄥˊ ㄊㄞˋ,xíngtài,名詞,7,common,ai,word,,
形體,体型/身体,ㄒㄧㄥˊ ㄊㄧˇ,xíngtǐ,名詞,7,common,ai,word,,
形形色色,多種多様な,ㄒㄧㄥˊ ㄒㄧㄥˊ ㄙㄜˋ ㄙㄜˋ,xíngxíngsèsè,状態動詞(形容詞),7,common,ai,word,,
型態,形態/タイプ,ㄒㄧㄥˊ ㄊㄞˋ,xíngtài,名詞,7,common,ai,word,,
性,性質/性格,ㄒㄧㄥˋ,xìng,名詞,7,common,ai,word,,
性能,性能/機能,ㄒㄧㄥˋ ㄋㄥˊ,xìngnéng,名詞,7,common,ai,word,,
性情,気質/性格,ㄒㄧㄥˋ ㄑㄧㄥˊ,xìngqíng,名詞,7,common,ai,word,,
興致,興味/気分,ㄒㄧㄥˋ ㄓˋ,xìngzhì,名詞,7,common,ai,word,,
胸口,胸元,ㄒㄩㄥ ㄎㄡˇ,xiōngkǒu,名詞,7,common,ai,word,,
修補,修繕する,ㄒㄧㄡ ㄅㄨˇ,xiūbǔ,動詞,7,common,ai,word,,
修訂,改訂する,ㄒㄧㄡ ㄉㄧㄥˋ,xiūdìng,動詞,7,common,ai,word,,
修建,建設する/修理する,ㄒㄧㄡ ㄐㄧㄢˋ,xiūjiàn,動詞,7,common,ai,word,,
修女,修道女,ㄒㄧㄡ ㄋㄩˇ,xiūnǚ,名詞,7,common,ai,word,,
修養,教養/修養,ㄒㄧㄡ ㄧㄤˇ,xiūyǎng,名詞,7,common,ai,word,,
修築,建設する,ㄒㄧㄡ ㄓㄨˊ,xiūzhú,動詞,7,common,ai,word,,
繡,刺繍する/刺繍,ㄒㄧㄡˋ,xiù,動詞,7,common,ai,word,,
虛擬,架空の/仮想の,ㄒㄩ ㄋㄧˇ,xūnǐ,動詞,7,common,ai,word,,
虛心,謙虚な/素直な,ㄒㄩ ㄒㄧㄣ,xūxīn,状態動詞(形容詞),7,common,ai,word,,
許多,多くの/たくさんの / 多くの,ㄒㄩˇ ㄉㄨㄛ / ㄒㄩˇ ㄉㄨㄛ,xǔduō / xǔduō,副詞,4,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
許久,長い間,ㄒㄩˇ ㄐㄧㄡˇ,xǔjiǔ,名詞,7,common,ai,word,,
許可,許可する,ㄒㄩˇ ㄎㄜˇ,xǔkě,動詞,7,common,ai,word,,
酗酒,深酒する,ㄒㄩˋ ㄐㄧㄡˇ,xùjiǔ,自動詞,7,common,ai,word,,
序幕,序幕/幕開け,ㄒㄩˋ ㄇㄨˋ,xùmù,名詞,7,common,ai,word,,
敘述,述べる/語る,ㄒㄩˋ ㄕㄨˋ,xùshù,動詞,7,common,ai,word,,
宣稱,主張する/公言する,ㄒㄩㄢ ㄔㄥ,xuānchēng,動詞,7,common,ai,word,,
宣告,宣言する,ㄒㄩㄢ ㄍㄠˋ,xuāngào,動詞,7,common,ai,word,,
宣示,公に表明する,ㄒㄩㄢ ㄕˋ,xuānshì,動詞,7,common,ai,word,,
宣誓,宣誓する,ㄒㄩㄢ ㄕˋ,xuānshì,自動詞,7,common,ai,word,,
宣言,宣言/マニフェスト,ㄒㄩㄢ ㄧㄢˊ,xuānyán,名詞,7,common,ai,word,,
宣揚,広める/宣伝する,ㄒㄩㄢ ㄧㄤˊ,xuānyáng,動詞,7,common,ai,word,,
旋律,メロディ,ㄒㄩㄢˊ ㄌㄩˋ,xuánlǜ,名詞,7,common,ai,word,,
旋轉,回転する,ㄒㄩㄢˊ ㄓㄨㄢˇ,xuánzhuǎn,自動詞,7,common,ai,word,,
懸殊,大きな隔たりがある,ㄒㄩㄢˊ ㄕㄨ,xuánshū,状態動詞(形容詞),7,common,ai,word,,
懸崖,崖/絶壁,ㄒㄩㄢˊ ㄧㄚˊi,xuányái/yái,名詞,7,common,ai,word,,原表記: 懸崖/崖
選拔,選抜する,ㄒㄩㄢˇ ㄅㄚˊ,xuǎnbá,動詞,7,common,ai,word,,
選購,選んで買う,ㄒㄩㄢˇ ㄍㄡˋ,xuǎngòu,動詞,7,common,ai,word,,
選民,有権者,ㄒㄩㄢˇ ㄇㄧㄣˊ,xuǎnmín,名詞,7,common,ai,word,,
選票,投票用紙/票,ㄒㄩㄢˇ ㄆㄧㄠˋ,xuǎnpiào,名詞,7,common,ai,word,,
選修,選択科目/履修する,ㄒㄩㄢˇ ㄒㄧㄡ,xuǎnxiū,動詞,7,common,ai,word,,
學分,単位,ㄒㄩㄝˊ ㄈㄣ,xuéfēn,名詞,7,common,ai,word,,
學科,学科/学問分野,ㄒㄩㄝˊ ㄎㄜ,xuékē,名詞,7,common,ai,word,,
學年,学年,ㄒㄩㄝˊ ㄋㄧㄢˊ,xuénián,名詞,7,common,ai,word,,
學識,学識/教養,ㄒㄩㄝˊ ㄕˋ,xuéshì,名詞,7,common,ai,word,,
學說,学説/理論,ㄒㄩㄝˊ ㄕㄨㄛ,xuéshuō,名詞,7,common,ai,word,,
學徒,見習い,ㄒㄩㄝˊ ㄊㄨˊ,xuétú,名詞,7,common,ai,word,,
學員,受講生/生徒,ㄒㄩㄝˊ ㄩㄢˊ,xuéyuán,名詞,7,common,ai,word,,
學制,教育制度,ㄒㄩㄝˊ ㄓˋ,xuézhì,名詞,7,common,ai,word,,
雪人,雪だるま/イエティ,ㄒㄩㄝˇ ㄖㄣˊ,xuěrén,名詞,7,common,ai,word,,
削弱,弱める/損なう,ㄒㄩㄝˋ ㄖㄨㄛˋ,xuèruò,動詞,7,common,ai,word,,
巡邏,パトロールする,ㄒㄩㄣˊ ㄌㄨㄛˊ,xúnluó,自動詞,7,common,ai,word,,
巡視,視察する/巡回する,ㄒㄩㄣˊ ㄕˋ,xúnshì,動詞,7,common,ai,word,,
詢問,尋ねる/問い合わせる,ㄒㄩㄣˊ ㄨㄣˋ,xúnwèn,動詞,7,common,ai,word,,
訓,教える/訓戒,ㄒㄩㄣˋ,xùn,動詞,7,common,ai,word,,
押,担保に入れる/拘留する,ㄧㄚ,yā,動詞,7,common,ai,word,,
鴉片,アヘン,ㄧㄚ ㄆㄧㄢˋ,yāpiàn,名詞,7,common,ai,word,,
壓歲錢,お年玉,ㄧㄚ ㄙㄨㄟˋ ㄑㄧㄢˊ,yāsuìqián,名詞,7,common,ai,word,,
壓縮,圧縮する,ㄧㄚ ㄙㄨㄛ,yāsuō,動詞,7,common,ai,word,,
壓制,抑圧する/抑制する,ㄧㄚ ㄓˋ,yāzhì,動詞,7,common,ai,word,,
牙科,歯科,ㄧㄚˊ ㄎㄜ,yákē,名詞,7,common,ai,word,,
啞,口がきけない/無口な,ㄧㄚˇ,yǎ,変化動詞,7,common,ai,word,,
亞軍,準優勝/2位,ㄧㄚˋ ㄐㄩㄣ,yàjūn,名詞,7,common,ai,word,,
淹,浸水する/溺れる,ㄧㄢ,yān,動詞,7,common,ai,word,,
言論,言論/意見,ㄧㄢˊ ㄌㄨㄣˋ,yánlùn,名詞,7,common,ai,word,,
延遲,遅らせる/延期する,ㄧㄢˊ ㄔˊ,yánchí,変化動詞,7,common,ai,word,,
延伸,広がる/伸びる,ㄧㄢˊ ㄕㄣ,yánshēn,状態動詞(形容詞),7,common,ai,word,,
延誤,遅延する/手遅れになる,ㄧㄢˊ ㄨˋ,yánwù,変化動詞,7,common,ai,word,,
延續,続く/継続する,ㄧㄢˊ ㄒㄩˋ,yánxù,状態動詞,7,common,ai,word,,
沿海,沿岸の,ㄧㄢˊ ㄏㄞˇ,yánhǎi,名詞,7,common,ai,word,,
沿途,道中/道すがら,ㄧㄢˊ ㄊㄨˊ,yántú,名詞,7,common,ai,word,,
沿襲,踏襲する,ㄧㄢˊ ㄒㄧˊ,yánxí,状態動詞,7,common,ai,word,,
沿用,引き続き使う,ㄧㄢˊ ㄩㄥˋ,yányòng,動詞,7,common,ai,word,,
嚴禁,厳禁する,ㄧㄢˊ ㄐㄧㄣˋ,yánjìn,動詞,7,common,ai,word,,
嚴厲,厳しい/厳格な,ㄧㄢˊ ㄌㄧˋ,yánlì,状態動詞(形容詞),7,common,ai,word,,
嚴密,厳密な/隙のない,ㄧㄢˊ ㄇㄧˋ,yánmì,状態動詞(形容詞),7,common,ai,word,,
演變,発展する/変化する,ㄧㄢˇ ㄅㄧㄢˋ,yǎnbiàn,状態動詞(形容詞),7,common,ai,word,,
演說,演説/スピーチ,ㄧㄢˇ ㄕㄨㄛ,yǎnshuō,名詞,7,common,ai,word,,
演習,訓練/演習,ㄧㄢˇ ㄒㄧˊ,yǎnxí,自動詞,7,common,ai,word,,
眼界,視野/見識,ㄧㄢˇ ㄐㄧㄝˋ,yǎnjiè,名詞,7,common,ai,word,,
眼看,間もなく/目の当たりにする,ㄧㄢˇ ㄎㄢˋ,yǎnkàn,動詞,7,common,ai,word,,
衍生,派生する/生じる,ㄧㄢˇ ㄕㄥ,yǎnshēng,動詞,7,common,ai,word,,
燕窩,燕の巣,ㄧㄢˋ ㄨㄛ,yànwō,名詞,7,common,ai,word,,
央求,懇願する,ㄧㄤ ㄑㄧㄡˊ,yāngqiú,動詞,7,common,ai,word,,
仰,仰ぐ/見上げる,ㄧㄤˇ,yǎng,動詞,7,common,ai,word,,
仰慕,憧れる/敬慕する,ㄧㄤˇ ㄇㄨˋ,yǎngmù,状態動詞,7,common,ai,word,,
養分,栄養分,ㄧㄤˇ ㄈㄣˋ,yǎngfèn,名詞,7,common,ai,word,,原表記: 養分/養份
養老,老後を過ごす,ㄧㄤˇ ㄌㄠˇ,yǎnglǎo,状態動詞(形容詞),7,common,ai,word,,
養育,育てる/養育する,ㄧㄤˇ ㄩˋ,yǎngyù,動詞,7,common,ai,word,,
邀,招待する/求める,ㄧㄠ,yāo,動詞,7,common,ai,word,,
搖晃,揺れる/揺れ動く,ㄧㄠˊ ㄏㄨㄤˋ,yáohuàng,自動詞,7,common,ai,word,,
謠言,噂/デマ,ㄧㄠˊ ㄧㄢˊ,yáoyán,名詞,7,common,ai,word,,
遙遠,遠い/遥かな,ㄧㄠˊ ㄩㄢˇ,yáoyuǎn,状態動詞(形容詞),7,common,ai,word,,
要點,要点/肝心な点,ㄧㄠˋ ㄉㄧㄢˇ,yàodiǎn,名詞,7,common,ai,word,,
要犯,重要犯罪者,ㄧㄠˋ ㄈㄢˋ,yàofàn,名詞,7,common,ai,word,,
藥品,医薬品/薬,ㄧㄠˋ ㄆㄧㄣˇ,yàopǐn,名詞,7,common,ai,word,,
業績,業績/成果,ㄧㄝˋ ㄐㄧ,yèjī,名詞,7,common,ai,word,,
依,頼る/従う/～に基づいて,ㄧ,yī,介詞(前置詞),7,common,ai,word,,
依舊,依然として/相変わらず,ㄧ ㄐㄧㄡˋ,yījiù,副詞,7,common,ai,word,,
依賴,依存する/頼る,ㄧ ㄌㄞˋ,yīlài,状態動詞,7,common,ai,word,,
依照,～に従って/～に基づき,ㄧ ㄓㄠˋ,yīzhào,介詞(前置詞),7,common,ai,word,,
醫療,医療,ㄧ ㄌㄧㄠˊ,yīliáo,名詞,7,common,ai,word,,
醫術,医術/医療技術,ㄧ ㄕㄨˋ,yīshù,名詞,7,common,ai,word,,
醫藥,医療と薬,ㄧ ㄧㄠˋ,yīyào,名詞,7,common,ai,word,,
一定,必ず/きっと / 必ず/一定の,ㄧ ㄉㄧㄥˋ / ㄧ ㄉㄧㄥˋ,yīdìng / yīdìng,状態動詞(連体用),2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
一道,一緒に/共に,ㄧ ㄉㄠˋ,yīdào,副詞,7,common,ai,word,,
一度,一度/かつて,ㄧ ㄉㄨˋ,yīdù,副詞,7,common,ai,word,,
一概,一律に/すべて,ㄧ ㄍㄞˋ,yīgài,副詞,7,common,ai,word,,
一貫,一貫した,ㄧ ㄍㄨㄢˋ,yīguàn,状態動詞(連体用),7,common,ai,word,,
一律,一律に/すべて,ㄧ ㄌㄩˋ,yīlǜ,副詞,7,common,ai,word,,
一味,ひたすら/頑なに,ㄧ ㄨㄟˋ,yīwèi,副詞,7,common,ai,word,,
咦,おや/あれ,ㄧˊ,yí,助詞,7,common,ai,word,,
儀表,身なり/態度/計器,ㄧˊ ㄅㄧㄠˇ,yíbiǎo,名詞,7,common,ai,word,,
遺產,遺産/継承物,ㄧˊ ㄔㄢˇ,yíchǎn,名詞,7,common,ai,word,,
遺傳,遺伝する/受け継ぐ,ㄧˊ ㄔㄨㄢˊ,yíchuán,状態動詞,7,common,ai,word,,
遺憾,残念だ/心残りだ,ㄧˊ ㄏㄢˋ,yíhàn,状態動詞(形容詞),7,common,ai,word,,
遺留,残す/遺す,ㄧˊ ㄌㄧㄡˊ,yíliú,動詞,7,common,ai,word,,
遺棄,見捨てる/遺棄する,ㄧˊ ㄑㄧˋ,yíqì,動詞,7,common,ai,word,,
遺體,遺体,ㄧˊ ㄊㄧˇ,yítǐ,名詞,7,common,ai,word,,
遺忘,忘れる,ㄧˊ ㄨㄤˋ,yíwàng,変化動詞,7,common,ai,word,,
遺址,遺跡/跡地,ㄧˊ ㄓˇ,yízhǐ,名詞,7,common,ai,word,,
疑慮,疑念/懸念,ㄧˊ ㄌㄩˋ,yílǜ,名詞,7,common,ai,word,,
移植,移植する,ㄧˊ ㄓˊ,yízhí,動詞,7,common,ai,word,,
倚,寄りかかる/頼る,ㄧˇ,yǐ,動詞,7,common,ai,word,,
以至,～に至るまで,ㄧˇ ㄓˋ,yǐzhì/yǐzhìyú,接続詞,7,common,ai,word,,原表記: 以至/以致/以至於/以致於
亦,また/同様に,ㄧˋ,yì,副詞/接続詞,7,common,ai,word,,
一連串,一連の/連続した,ㄧ ㄌㄧㄢˊ ㄔㄨㄢˋ,yīliánchuàn,状態動詞(連体用),7,common,ai,word,,
一流,一流の,ㄧ ㄌㄧㄡˊ,yīliú,状態動詞(形容詞),7,common,ai,word,,
一如,～と全く同じで,ㄧ ㄖㄨˊ,yīrú,介詞(前置詞),7,common,ai,word,,
一心,ひたむきに,ㄧ ㄒㄧㄣ,yīxīn,副詞,7,common,ai,word,,
液體,液体,ㄧㄝˋ ㄊㄧˇ,yètǐ,名詞,7,common,ai,word,,
抑制,抑制する/抑える,ㄧˋ ㄓˋ,yìzhì,動詞,7,common,ai,word,,
意識到,気づく/自覚する,ㄧˋ ㄕˋ ㄉㄠˋ,yìshìdào,変化動詞,7,common,ai,word,,
意圖,意図/狙い,ㄧˋ ㄊㄨˊ,yìtú,名詞,7,common,ai,word,,
意味,意味/含み/趣,ㄧˋ ㄨㄟˋ,yìwèi,状態動詞,7,common,ai,word,,
毅力,忍耐力/意志の力,ㄧˋ ㄌㄧˋ,yìlì,名詞,7,common,ai,word,,
異常,異常な/極めて,ㄧˋ ㄔㄤˊ,yìcháng,状態動詞(形容詞),7,common,ai,word,,
異鄉,異郷/他郷,ㄧˋ ㄒㄧㄤ,yìxiāng,名詞,7,common,ai,word,,
議定,取り決める/合意する,ㄧˋ ㄉㄧㄥˋ,yìdìng,動詞,7,common,ai,word,,
議論,議論する/論評する,ㄧˋ ㄌㄨㄣˋ,yìlùn,動詞,7,common,ai,word,,
議題,議題/論点,ㄧˋ ㄊㄧˊ,yìtí,名詞,7,common,ai,word,,
音,音/響き,ㄧㄣ,yīn,名詞,7,common,ai,word,,
因果,因果/因果応報,ㄧㄣ ㄍㄨㄛˇ,yīnguǒ,名詞,7,common,ai,word,,
陰謀,陰謀/たくらみ,ㄧㄣ ㄇㄡˊ,yīnmóu,名詞,7,common,ai,word,,
陰影,影/陰影,ㄧㄣ ㄧㄥˇ,yīnyǐng,名詞,7,common,ai,word,,
銀幕,映画のスクリーン,ㄧㄣˊ ㄇㄨˋ,yínmù,名詞,7,common,ai,word,,
銀子,銀/金銭,ㄧㄣˊ ˙ㄗ,yínzi,名詞,7,common,ai,word,,
引,引く/導く,ㄧㄣˇ,yǐn,動詞,7,common,ai,word,,
引導,導く/案内する,ㄧㄣˇ ㄉㄠˇ,yǐndǎo,動詞,7,common,ai,word,,
引進,導入する/招き入れる,ㄧㄣˇ ㄐㄧㄣˋ,yǐnjìn,動詞,7,common,ai,word,,
引擎,エンジン,ㄧㄣˇ ㄑㄧㄥˊ,yǐnqíng,名詞,7,common,ai,word,,
隱藏,隠す/隠蔽する,ㄧㄣˇ ㄘㄤˊ,yǐncáng,動詞,7,common,ai,word,,
隱士,隠者,ㄧㄣˇ ㄕˋ,yǐnshì,名詞,7,common,ai,word,,
隱約,かすかな/ぼんやりした,ㄧㄣˇ ㄩㄝ,yǐnyuē,副詞,7,common,ai,word,,
印證,裏付ける/証明する,ㄧㄣˋ ㄓㄥˋ,yìnzhèng,動詞,7,common,ai,word,,
櫻桃,サクランボ,ㄧㄥ ㄊㄠˊ,yīngtáo,名詞,7,common,ai,word,,
英勇,勇敢な/英雄的な,ㄧㄥ ㄩㄥˇ,yīngyǒng,状態動詞(形容詞),7,common,ai,word,,
應,応じる/～すべき/答える,ㄧㄥˋ,yìng,介詞(前置詞)/動詞,7,common,ai,word,,
鷹,タカ,ㄧㄥ,yīng/lǎoyīng,名詞,7,common,ai,word,,原表記: 鷹/老鷹
營地,キャンプ地,ㄧㄥˊ ㄉㄧˋ,yíngdì,名詞,7,common,ai,word,,
營造,建設する/築く,ㄧㄥˊ ㄗㄠˋ,yíngzào,動詞,7,common,ai,word,,
迎,迎える/立ち向かう,ㄧㄥˊ,yíng,動詞,7,common,ai,word,,
迎合,迎合する/機嫌をとる,ㄧㄥˊ ㄏㄜˊ,yínghé,状態動詞,7,common,ai,word,,
影射,遠回しに非難する/当てこする,ㄧㄥˇ ㄕㄜˋ,yǐngshè,状態動詞,7,common,ai,word,,
硬體,ハードウェア,ㄧㄥˋ ㄊㄧˇ,yìngtǐ,名詞,7,common,ai,word,,
應變,臨機応変に対応する,ㄧㄥˋ ㄅㄧㄢˋ,yìngbiàn,自動詞,7,common,ai,word,,
應酬,付き合い/社交/接待,ㄧㄥˋ ㄔㄡˊ,yìngchóu,自動詞,7,common,ai,word,,
應急,応急の/緊急の,ㄧㄥˋ ㄐㄧˊ,yìngjí,状態動詞(形容詞),7,common,ai,word,,
應驗,的中する/実現する,ㄧㄥˋ ㄧㄢˋ,yìngyàn,変化動詞,7,common,ai,word,,
應徵,応募する,ㄧㄥˋ ㄓㄥ,yìngzhēng,動詞,7,common,ai,word,,
唷,おや！/～だよ,ㄧㄛ,yō,助詞,7,common,ai,word,,
湧,湧き出る/噴き出す,ㄩㄥˇ,yǒng,動詞,7,common,ai,word,,
踴躍,進んで/積極的に,ㄩㄥˇ ㄩㄝˋ,yǒngyuè,状態動詞(形容詞),7,common,ai,word,,
用戶,ユーザー/利用者,ㄩㄥˋ ㄏㄨˋ,yònghù,名詞,7,common,ai,word,,
用途,用途/使い道,ㄩㄥˋ ㄊㄨˊ,yòngtú,名詞,7,common,ai,word,,
悠久,悠久の/長い,ㄧㄡ ㄐㄧㄡˇ,yōujiǔ,状態動詞(形容詞),7,common,ai,word,,
悠閒,のんびりした/気楽な,ㄧㄡ ㄒㄧㄢˊ,yōuxián,状態動詞(形容詞),7,common,ai,word,,
優待,優遇する/特別扱い,ㄧㄡ ㄉㄞˋ,yōudài,動詞,7,common,ai,word,,
優勢,優位/強み,ㄧㄡ ㄕˋ,yōushì,名詞,7,common,ai,word,,
優先,優先する,ㄧㄡ ㄒㄧㄢ,yōuxiān,副詞,7,common,ai,word,,
優異,優秀な/優れている,ㄧㄡ ㄧˋ,yōuyì,状態動詞(形容詞),7,common,ai,word,,
鈾,ウラン,ㄧㄡˋ,yòu,名詞,7,common,ai,word,,
由來,由来/起源,ㄧㄡˊ ㄌㄞˊ,yóulái,名詞,7,common,ai,word,,
遊覽,観光する/見学する,ㄧㄡˊ ㄌㄢˇ,yóulǎn,動詞,7,common,ai,word,,
油條,揚げパン/ずる賢い人,ㄧㄡˊ ㄊㄧㄠˊ,yóutiáo,名詞,7,common,ai,word,,
友愛,友愛/親愛,ㄧㄡˇ ㄞˋ,yǒuài,状態動詞,7,common,ai,word,,
有機,有機の,ㄧㄡˇ ㄐㄧ,yǒujī,状態動詞(連体用),7,common,ai,word,,
有理,道理にかなった/もっともな,ㄧㄡˇ ㄌㄧˇ,yǒulǐ,状態動詞(形容詞),7,common,ai,word,,
有所,いくぶん/ある程度,ㄧㄡˇ ㄙㄨㄛˇ,yǒusuǒ,状態動詞,7,common,ai,word,,
有為,将来性のある/有望な,ㄧㄡˇ ㄨㄟˊ,yǒuwéi,状態動詞(形容詞),7,common,ai,word,,
有限,限られた/有限の,ㄧㄡˇ ㄒㄧㄢˋ,yǒuxiàn,状態動詞(形容詞),7,common,ai,word,,
有形,有形の/目に見える,ㄧㄡˇ ㄒㄧㄥˊ,yǒuxíng,状態動詞(形容詞),7,common,ai,word,,
有心人,志のある人/熱心な人,ㄧㄡˇ ㄒㄧㄣ ㄖㄣˊ,yǒuxīnrén,名詞,7,common,ai,word,,
有益,有益な/ためになる,ㄧㄡˇ ㄧˋ,yǒuyì,状態動詞,7,common,ai,word,,
有意,意図する/わざと/関心がある,ㄧㄡˇ ㄧˋ,yǒuyì,助動詞,7,common,ai,word,,
有緣,縁がある,ㄧㄡˇ ㄩㄢˊ,yǒuyuán,状態動詞(形容詞),7,common,ai,word,,
誘惑,誘惑する/そそのかす,ㄧㄡˋ ㄏㄨㄛˋ,yòuhuò,動詞,7,common,ai,word,,
幼稚,幼い/幼稚な,ㄧㄡˋ ㄓˋ,yòuzhì,状態動詞(形容詞),7,common,ai,word,,
于,～へ/～において,ㄩˊ,yú,介詞(前置詞),7,common,ai,word,,
於,～に/～で/～に対して,ㄩˊ,yú,介詞(前置詞),7,common,ai,word,,
逾,超える,ㄩˊ,yú,状態動詞,7,common,ai,word,,
餘,余り/残りの,ㄩˊ,yú,名詞/状態動詞,7,common,ai,word,,
語法,文法,ㄩˇ ㄈㄚˇ,yǔfǎ,名詞,7,common,ai,word,,
愚蠢,愚かな/馬鹿げた,ㄩˊ ㄔㄨㄣˇ,yúchǔn,状態動詞(形容詞),7,common,ai,word,,
輿論,世論,ㄩˊ ㄌㄨㄣˋ,yúlùn,名詞,7,common,ai,word,,
漁民,漁師,ㄩˊ ㄇㄧㄣˊ,yúmín,名詞,7,common,ai,word,,
予,私/与える,ㄩˇ,yǔ,動詞,7,common,ai,word,,
予以,与える/適用する,ㄩˇ ㄧˇ,yǔyǐ,動詞,7,common,ai,word,,
與會,会議に出席する,ㄩˋ ㄏㄨㄟˋ,yùhuì,自動詞,7,common,ai,word,,
語文,言語と文学/国語,ㄩˇ ㄨㄣˊ,yǔwén,名詞,7,common,ai,word,,
愈,ますます/回復する,ㄩˋ,yù,副詞,7,common,ai,word,,
玉器,翡翠の工芸品,ㄩˋ ㄑㄧˋ,yùqì,名詞,7,common,ai,word,,
預測,予測する,ㄩˋ ㄘㄜˋ,yùcè,動詞,7,common,ai,word,,
預防,予防する/防ぐ,ㄩˋ ㄈㄤˊ,yùfáng,動詞,7,common,ai,word,,
預告,予告する/事前通知,ㄩˋ ㄍㄠˋ,yùgào,動詞,7,common,ai,word,,
預估,見積もる/予測する,ㄩˋ ㄍㄨ,yùgū,動詞,7,common,ai,word,,
預賽,予選,ㄩˋ ㄙㄞˋ,yùsài,名詞,7,common,ai,word,,
預約,予約する,ㄩˋ ㄩㄝ,yùyuē,動詞,7,common,ai,word,,
寓言,寓話,ㄩˋ ㄧㄢˊ,yùyán,名詞,7,common,ai,word,,
園林,庭園/公園,ㄩㄢˊ ㄌㄧㄣˊ,yuánlín,名詞,7,common,ai,word,,
元氣,活力/元気,ㄩㄢˊ ㄑㄧˋ,yuánqì,名詞,7,common,ai,word,,
元首,国家元首,ㄩㄢˊ ㄕㄡˇ,yuánshǒu,名詞,7,common,ai,word,,
元素,要素/元素,ㄩㄢˊ ㄙㄨˋ,yuánsù,名詞,7,common,ai,word,,
原,元の/以前の,ㄩㄢˊ,yuán,副詞,7,common,ai,word,,
原形,元の形/正体,ㄩㄢˊ ㄒㄧㄥˊ,yuánxíng,名詞,7,common,ai,word,,
原野,平野/野原,ㄩㄢˊ ㄧㄝˇ,yuányě,名詞,7,common,ai,word,,
原狀,元の状態,ㄩㄢˊ ㄓㄨㄤˋ,yuánzhuàng,名詞,7,common,ai,word,,
原住民,先住民,ㄩㄢˊ ㄓㄨˋ ㄇㄧㄣˊ,yuánzhùmín,名詞,7,common,ai,word,,
