headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes,en_ref
慢慢,ゆっくりと/徐々に,ㄇㄢˋ ㄇㄢˋ,mànmàn,,5,common,ai,word,,,slowly; gradually
慢用,ごゆっくりどうぞ,ㄇㄢˋ ㄩㄥˋ,mànyòng,自動詞,5,common,ai,word,,,same as 慢慢吃[man4 man4 chi1]
毛,〜角(0.1元)/毛 / 毛/羽毛,ㄇㄠˊ / ㄇㄠˊ,máo / máo,名詞,4,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,hair; feather; down
毛筆,筆,ㄇㄠˊ ㄅㄧˇ,máobǐ,名詞,5,common,ai,word,,,"writing brush; CL:枝[zhi1],管[guan3]"
毛病,欠点/故障,ㄇㄠˊ ㄅㄧㄥˋ,máobìng,名詞,5,common,ai,word,,,fault; defect; shortcomings
馬桶,便器,ㄇㄚˇ ㄊㄨㄥˇ,mǎtǒng,名詞,5,common,ai,word,,,chamber pot; wooden pan used as toilet; toilet bowl
碼頭,埠頭/桟橋,ㄇㄚˇ ˙ㄊㄡ,mǎtou,名詞,5,common,ai,word,,,dock; pier; wharf
螞蟻,アリ,ㄇㄚˇ ㄧˇ,mǎyǐ,名詞,5,common,ai,word,,,ant
沒,〜ない/なかった / ～していない/溺れる,ㄇㄟˊ / ㄇㄟˊ,méi / méi,助詞/変化動詞,1,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,(negative prefix for verbs) have not; not ‖ drowned
每,毎〜/どの〜も / 各/毎,ㄇㄟˇ / ㄇㄟˇ,měi / měi,副詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,each; every
玫瑰,バラ,ㄇㄟˊ ㄍㄨㄟ,méiguī,名詞,5,common,ai,word,,,rugosa rose (shrub) (Rosa rugosa) (CL:棵[ke1]); rose flower (CL:朵[duo3])
美好,素晴らしい/美しい,ㄇㄟˇ ㄏㄠˇ,měihǎo,状態動詞(形容詞),5,common,ai,word,,,beautiful; fine
沒什麼,何でもない/どういたしまして,ㄇㄟˊ ㄕㄣˊ ˙ㄇㄜ,méishénme,状態動詞(形容詞),5,common,ai,word,,,it doesn't matter; it's nothing; never mind; think nothing of it; it's my pleasure; you're welcome
門,ドア/門 / 扉/門,ㄇㄣˊ / ㄇㄣˊ,mén / mén,量詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,gate; door; CL:扇[shan4]
迷人,魅力的な,ㄇㄧˊ ㄖㄣˊ,mírén,状態動詞(形容詞),5,common,ai,word,,,fascinating; enchanting; charming
密切,親密な/密接な,ㄇㄧˋ ㄑㄧㄝˋ,mìqiè,状態動詞(形容詞),5,common,ai,word,,,close; familiar; intimate
面,顔/面/表面,ㄇㄧㄢˋ,miàn,量詞/名詞,5,common,ai,word,,,face; side; surface
免費,無料の,ㄇㄧㄢˇ ㄈㄟˋ,miǎnfèi,状態動詞(形容詞),5,common,ai,word,,,free (of charge)
面前,～の前で,ㄇㄧㄢˋ ㄑㄧㄢˊ,miànqián,名詞,5,common,ai,word,,,in front of; facing; (in the) presence (of)
麵條,麺,ㄇㄧㄢˋ ㄊㄧㄠˊ,miàntiáo,名詞,5,common,ai,word,,,noodles
秒,秒/瞬時,ㄇㄧㄠˇ,miǎo,量詞,5,common,ai,word,,,second (unit of time); arc second (angular measurement unit); (coll.) instantly
描寫,描写する,ㄇㄧㄠˊ ㄒㄧㄝˇ,miáoxiě,動詞,5,common,ai,word,,,to describe; to depict; to portray; depiction; portrayal
廟,寺院,ㄇㄧㄠˋ,miào,名詞,5,common,ai,word,,,temple; ancestral shrine; CL:座[zuo4]
米飯,ご飯,ㄇㄧˇ ㄈㄢˋ,mǐfàn,名詞,5,common,ai,word,,,(cooked) rice
米粉,米粉/ビーフン,ㄇㄧˇ ㄈㄣˇ,mǐfěn,名詞,5,common,ai,word,,,rice flour; rice-flour noodles; (Internet slang) Xiaomi fan
迷路,道に迷う,ㄇㄧˊ ㄌㄨˋ,mílù,Vp-sep,5,common,ai,word,,,to lose the way; lost; labyrinth
明白,はっきりした/理解する,ㄇㄧㄥˊ ㄅㄞˊ / ㄇㄧㄥˊ ㄅㄞˊ / ㄇㄧㄥˊ ㄅㄞˊ,míngbái / míngbái / míngbái,変化動詞/状態動詞(形容詞)/副詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,clear; obvious; unequivocal; sensible; reasonable; to understand; to realize
名詞,名詞/用語,ㄇㄧㄥˊ ㄘˊ,míngcí,名詞,5,common,ai,word,,,(linguistics) noun; term (name for a concept)
民國,民国,ㄇㄧㄣˊ ㄍㄨㄛˊ,mínguó,名詞,5,common,ai,word,,,"Republic of China (1912-1949); used in Taiwan as the name of the calendar era (e.g. 民國六十年|民国六十年 is 1971, the 60th year a"
明顯,明白な/はっきりした,ㄇㄧㄥˊ ㄒㄧㄢˇ,míngxiǎn,状態動詞(形容詞),5,common,ai,word,,,clear; distinct; obvious
明星,スター/有名人,ㄇㄧㄥˊ ㄒㄧㄥ,míngxīng,名詞,5,common,ai,word,,,star; celebrity
命,命/運命/命令,ㄇㄧㄥˋ / ㄇㄧㄥˋ,mìng / mìng,名詞/動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,life; fate; order or command
民族,民族/国民,ㄇㄧㄣˊ ㄗㄨˊ,mínzú,名詞,5,common,ai,word,,,nationality; ethnic group; CL:個|个[ge4]
陌生,見知らぬ/不慣れな,ㄇㄛˋ ㄕㄥ,mòshēng,状態動詞(形容詞),5,common,ai,word,,,strange; unfamiliar
摸,触る/撫でる,ㄇㄛ,mō,動詞,5,common,ai,word,,,to feel with the hand; to touch; to stroke
某,ある/特定の,ㄇㄡˇ,mǒu,限定詞,5,common,ai,word,,,some; a certain; sb or sth indefinite
木,木/無感覚な,ㄇㄨˋ,mù,名詞,5,common,ai,word,,,(bound form) tree; (bound form) wood; unresponsive; numb; wooden
目前,現在/目下,ㄇㄨˋ ㄑㄧㄢˊ,mùqián,名詞,5,common,ai,word,,,at the present time; currently
木頭,鈍感な人/木偶の坊,ㄇㄨˋ ˙ㄊㄡ,mùtou,名詞,5,common,ai,word,,,"slow-witted; blockhead; log (of wood, timber etc)"
那,それ/あれ / あの/その/それなら,ㄋㄚˋ / ㄋㄚˋ,nà / nà,接続詞,1,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,"(specifier) that; the; those (colloquial pr. [nei4]); (pronoun) that (referring to persons, things or situations); then  ‖ (archaic) many"
那麼,そんなに/それでは / そんなに/あのように,ㄋㄚˋ ˙ㄇㄜ / ㄋㄚˋ ˙ㄇㄜ,nàme / nàme,接続詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,like that; in that way; or so
奶,乳/授乳する,ㄋㄞˇ,nǎi,名詞,5,common,ai,word,,,breast; milk; to breastfeed
耐心,忍耐強い/忍耐,ㄋㄞˋ ㄒㄧㄣ / ㄋㄞˋ ㄒㄧㄣ,nàixīn / nàixīn,名詞/副詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to be patient; patience
南方,南部/南の方,ㄋㄢˊ ㄈㄤ,nánfāng,名詞,5,common,ai,word,,,"south; southern direction; (in China) southern regions, often referring to areas south of the Yangtze River"
難怪,道理で/なるほど,ㄋㄢˊ ㄍㄨㄞˋ,nánguài,副詞,5,common,ai,word,,,(it's) no wonder (that...); (it's) not surprising (that)
難看,見苦しい/醜い,ㄋㄢˊ ㄎㄢˋ,nánkàn,状態動詞(形容詞),5,common,ai,word,,,ugly; unsightly
腦,脳/頭脳,ㄋㄠˇ,nǎo,名詞,5,common,ai,word,,,brain; mind; head
拿手,得意な,ㄋㄚˊ ㄕㄡˇ,náshǒu,状態動詞(形容詞),5,common,ai,word,,,expert in; good at
哪些,どれら/どの,ㄋㄚˇ ㄒㄧㄝ,nǎxiē,限定詞,5,common,ai,word,,,which ones?; who?; what?
內容,内容/中身,ㄋㄟˋ ㄖㄨㄥˊ,nèiróng,名詞,5,common,ai,word,,,content; substance; details
能夠,できる/可能である,ㄋㄥˊ ㄍㄡˋ,nénggòu,助動詞,5,common,ai,word,,,to be capable of; to be able to; can
年代,年代/時代,ㄋㄧㄢˊ ㄉㄞˋ,niándài,名詞,5,common,ai,word,,,a decade of a century (e.g. the Sixties); age; era
年齡,年齢,ㄋㄧㄢˊ ㄌㄧㄥˊ,niánlíng,名詞,5,common,ai,word,,,"(a person's) age; CL:把[ba3],個|个[ge4]"
年年,毎年/年々,ㄋㄧㄢˊ ㄋㄧㄢˊ,niánnián,副詞,5,common,ai,word,,,year after year; yearly; every year; annually
牛仔褲,ジーンズ,ㄋㄧㄡˊ ㄗㄞˇ ㄎㄨˋ,niúzǎikù,名詞,5,common,ai,word,,,jeans; CL:條|条[tiao2]
女士,女性/婦人,ㄋㄩˇ ㄕˋ,nǚshì,名詞,5,common,ai,word,,,"lady; madam; CL:個|个[ge4],位[wei4]"
喔,へえ/なるほど,ㄛ,ō,助詞,5,common,ai,word,,,"(interjection) oh; I see (used to indicate realization, understanding) ‖ (Tw) (sentence-final particle) (used to "
哦,おや/えっ,ㄛˊ,ó,助詞,5,common,ai,word,,,to chant ‖ oh (interjection indicating doubt or sur
排,列/並べる,ㄆㄞˊ / ㄆㄞˊ,pái / pái,動詞/量詞/動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,a row; a line; to set in order
牌,看板/銘柄/札,ㄆㄞˊ(ㄗ˙),pái(zi),名詞,5,common,ai,word,,原表記: 牌(子),signboard; plaque; plate; tablet (CL:塊|块[kuai4]); brand; trademark (CL:個|个[ge4]); mahjong tile; domino; playing card (CL
盼望,待ち望む,ㄆㄢˋ ㄨㄤˋ,pànwàng,状態動詞,5,common,ai,word,,,to hope for; to look forward to
培養,育成する/養う,ㄆㄟˊ ㄧㄤˇ,péiyǎng,動詞,5,common,ai,word,,,to cultivate; to breed; to foster
配,合わせる/適合する,ㄆㄟˋ / ㄆㄟˋ,pèi / pèi,動詞/動詞/状態動詞(形容詞),5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to join; to fit; to mate
配合,協力する/調和する,ㄆㄟˋ ㄏㄜˊ,pèihé,動詞,5,common,ai,word,,,matching; fitting in with; compatible with
碰,触れる/ぶつかる,ㄆㄥˋ,pèng,動詞,5,common,ai,word,,,to touch; to meet with; to bump
碰到,偶然出会う,ㄆㄥˋ ㄉㄠˋ,pèngdào,変化動詞,5,common,ai,word,,,to come across; to run into; to meet
碰上,偶然出会う,ㄆㄥˋ ㄕㄤˋ,pèngshàng,変化動詞,5,common,ai,word,,,to run into; to come upon; to meet
批評,批判する,ㄆㄧ ㄆㄧㄥˊ,pīpíng,動詞,5,common,ai,word,,,"to criticize; criticism; CL:次[ci4],番[fan1]"
皮,皮/皮膚,ㄆㄧˊ / ㄆㄧˊ,pí / pí,名詞/状態動詞(形容詞),5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,leather; skin; fur
皮帶,ベルト,ㄆㄧˊ ㄉㄞˋ,pídài,名詞,5,common,ai,word,,,"strap; leather belt; CL:條|条[tiao2],根[gen1]"
皮膚,肌/皮膚,ㄆㄧˊ ㄈㄨ,pífū,名詞,5,common,ai,word,,,"skin; CL:層|层[ceng2],塊|块[kuai4]"
篇,（文章の）編,ㄆㄧㄢ,piān,量詞,5,common,ai,word,,,sheet; piece of writing; bound set of bamboo slips used for record keeping (old)
騙子,詐欺師,ㄆㄧㄢˋ ˙ㄗ,piànzi,名詞,5,common,ai,word,,,swindler; a cheat
坪,坪（面積単位）,ㄆㄧㄥˊ,píng,量詞,5,common,ai,word,,,"a plain; ping, unit of area equal to approx. 3.3058 square meters (used in Japan and Taiwan)"
平,平らな/等しい,ㄆㄧㄥˊ,píng,状態動詞(形容詞),5,common,ai,word,,,flat; level; equal
平安,無事な/平穏な,ㄆㄧㄣˊ ㄍㄢ,píngān,状態動詞(形容詞),5,common,ai,word,,,safe and sound; well; without mishap
平等,平等な,ㄆㄧㄥˊ ㄉㄥˇ,píngděng,状態動詞(形容詞),5,common,ai,word,,,equal; equality
平時,普段/平時,ㄆㄧㄥˊ ㄕˊ,píngshí,名詞,5,common,ai,word,,,ordinarily; in normal times; in peacetime
平原,平野,ㄆㄧㄥˊ ㄩㄢˊ,píngyuán,名詞,5,common,ai,word,,,field; plain; CL:個|个[ge4]
品質,性質/品質,ㄆㄧㄣˇ ㄓˊ,pǐnzhí,名詞,5,common,ai,word,,,"character; intrinsic quality (of a person); quality (of a product or service, or as in ""quality of life"", ""air quality"" "
破壞,破壊する/壊す,ㄆㄛˋ ㄏㄨㄞˋ,pòhuài,動詞,5,common,ai,word,,,destruction; damage; to wreck
普遍,普遍的/一般的,ㄆㄨˇ ㄅㄧㄢˋ,pǔbiàn,状態動詞(形容詞),5,common,ai,word,,,universal; general; widespread
期,期間/段階,ㄑㄧˊ / ㄑㄧˊ,qí / qí,量詞/名詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,a period of time; phase; stage
起,起きる/始まる / 起きる/立ち上がる,ㄑㄧˇ / ㄑㄧˇ / ㄑㄧˇ,qǐ / qǐ / qǐ,名詞/動詞/量詞/動詞,4,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to rise; to raise; to get up
氣,気体/空気/天気,ㄑㄧˋ,qì,名詞/限定詞,5,common,ai,word,,,gas; air; smell; weather
簽名,署名する/サイン,ㄑㄧㄢ ㄇㄧㄥˊ,qiānmíng,離合動詞,5,common,ai,word,,,to sign (one's name with a pen etc); to autograph; signature
謙虛,謙虚な,ㄑㄧㄢ ㄒㄩ,qiānxū,状態動詞(形容詞),5,common,ai,word,,,modest; self-effacing; to make modest remarks
前,前 / 前/前方,ㄑㄧㄢˊ(ㄇㄧㄢˋ) / ㄑㄧㄢˊ,qián(miàn) / qián,名詞/限定詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,front; forward; ahead
強盜,強盗,ㄑㄧㄤˊ ㄉㄠˋ,qiángdào,名詞,5,common,ai,word,,,to rob (with force); bandit; robber
強調,強調する,ㄑㄧㄤˊ ㄉㄧㄠˋ,qiángdiào,動詞,5,common,ai,word,,,to emphasize (a statement); to stress
搶,奪い合う/強奪する,ㄑㄧㄤˇ,qiǎng,動詞,5,common,ai,word,,,(literary) to knock against (esp. to knock one's head on the ground in grief or rage); opposite in direction; contrary ‖ to fight over
欺負,いじめる,ㄑㄧ ㄈㄨˋ,qīfù,動詞,5,common,ai,word,,,to bully
其次,次に/その次に,ㄑㄧˊ ㄘˋ,qícì,接続詞,5,common,ai,word,,,next; secondly
起飛,離陸する/急成長する,ㄑㄧˇ ㄈㄟ,qǐfēi,変化動詞,5,common,ai,word,,,(of an aircraft or rocket) to take off; to lift off; (fig.) (of an enterprise etc) to start to develop rapidly
起來,起き上がる/〜し始める / ～し始める,ㄑㄧˇ ㄌㄞˊ / ㄑㄧˇ ㄌㄞˊ,qǐlái / qǐlái,助詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to stand up; to get up; also pr. [qi3lai2] ‖ (after a verb) indicating the beginning 
親,親/肉親,ㄑㄧㄣ / ㄑㄧㄣ,qīn / qīn,動詞/状態動詞(形容詞),5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,parent; one's own (flesh and blood); relative ‖ parents-in-law of one's offspring
親切,親切な/親しみやすい,ㄑㄧㄣ ㄑㄧㄝˋ,qīnqiè,状態動詞(形容詞),5,common,ai,word,,,amiable; cordial; close and dear
親手,自分の手で,ㄑㄧㄣ ㄕㄡˇ,qīnshǒu,副詞,5,common,ai,word,,,personally; with one's own hands
親眼,自分の目で,ㄑㄧㄣ ㄧㄢˇ,qīnyǎn,副詞,5,common,ai,word,,,with one's own eyes; personally
親自,自ら/本人,ㄑㄧㄣ ㄗˋ,qīnzì,副詞,5,common,ai,word,,,personally; in person; oneself
清,清朝/澄んだ,ㄑㄧㄥ / ㄑㄧㄥ,qīng / qīng,状態動詞(述語用),5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,Qing (Wade-Giles: Ch'ing) dynasty of China (1644-1911); surname Qing ‖ (of water etc) clear; clean
晴,晴れる,ㄑㄧㄥˊ,qíng,状態動詞(述語用),5,common,ai,word,,,clear; fine (weather)
情,感情/情勢,ㄑㄧㄥˊ,qíng,名詞,5,common,ai,word,,,(bound form) feelings; emotion; sentiment; passion; (bound form) situation; condition
情況,状況/様子,ㄑㄧㄥˇ ㄐㄧㄚˋ,qǐngjià,名詞,5,common,ai,word,,,"circumstances; state of affairs; situation; CL:個|个[ge4],種|种[zhong3]"
情人,恋人,ㄑㄧㄥˊ ㄖㄣˊ,qíngrén,名詞,5,common,ai,word,,,lover; sweetheart
請假,休暇を願い出る,ㄑㄧㄥˇ ㄐㄧㄚˋ,qǐngjià,動詞,5,common,ai,word,,,to request leave of absence
請教,教えを請う,ㄑㄧㄥˇ ㄐㄧㄠˋ,qǐngjiào,動詞,5,common,ai,word,,,to ask for guidance; to consult
請求,要請する/求める,ㄑㄧㄥˇ ㄑㄧㄡˊ,qǐngqiú,動詞,5,common,ai,word,,,to request; to ask; request (CL:個|个[ge4])
慶祝,祝う,ㄑㄧㄥˋ ㄓㄨˋ,qìngzhù,動詞,5,common,ai,word,,,to celebrate
窮,貧しい/使い果たす,ㄑㄩㄥˊ,qióng,状態動詞(形容詞),5,common,ai,word,,,poor; destitute; to use up
求,求める/探す,ㄑㄧㄡˊ,qiú,動詞,5,common,ai,word,,,to seek; to look for; to request
球場,競技場/コート,ㄑㄧㄡˊ ㄔㄤˇ,qiúchǎng,名詞,5,common,ai,word,,,stadium; sports ground; court
球賽,球技の試合,ㄑㄧㄡˊ ㄙㄞˋ,qiúsài,名詞,5,common,ai,word,,,(ball sports) game; match; CL:場|场[chang3]
球員,選手,ㄑㄧㄡˊ ㄩㄢˊ,qiúyuán,名詞,5,common,ai,word,,,(ball sports) player; team member
氣溫,気温,ㄑㄧˋ ㄨㄣ,qìwēn,名詞,5,common,ai,word,,,air temperature
去,行く / 行く/去る,ㄑㄩˋ / ㄑㄩˋ,qù / qù,副詞/助詞,1,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to go; to go to (a place); (of a time etc) last
去世,亡くなる,ㄑㄩˋ ㄕˋ,qùshì,変化動詞,5,common,ai,word,,,to pass away; to die
全,すべて/全体,ㄑㄩㄢˊ,quán,限定詞,5,common,ai,word,,,all; whole; entire
全球,全世界/地球規模,ㄑㄩㄢˊ ㄑㄧㄡˊ,quánqiú,名詞,5,common,ai,word,,,the whole world; worldwide; global
取代,取って代わる,ㄑㄩˇ ㄉㄞˋ,qǔdài,動詞,5,common,ai,word,,,to replace; to supersede; to supplant
缺點,欠点/短所,ㄑㄩㄝ ㄉㄧㄢˇ,quēdiǎn,名詞,5,common,ai,word,,,weak point; fault; shortcoming
卻,しかし/だが,ㄑㄩㄝˋ,què,副詞,5,common,ai,word,,,but; yet; however
確定,確かな/確定した,ㄑㄩㄝˋ ㄉㄧㄥˋ,quèdìng,状態動詞(形容詞),5,common,ai,word,,,definite; certain; fixed
確認,確認する,ㄑㄩㄝˋ ㄖㄣˋ,quèrèn,動詞,5,common,ai,word,,,to confirm; to verify; confirmation
讓,〜させる/譲る / 譲る/許可する/させる,ㄖㄤˋ / ㄖㄤˋ,ràng / ràng,動詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to yield; to permit; to let sb do sth
忍,耐える/我慢する,ㄖㄣˇ,rěn,状態動詞(形容詞),5,common,ai,word,,,to bear; to endure; to tolerate
認,認める/知る,ㄖㄣˋ,rèn,動詞,5,common,ai,word,,,to recognize; to know; to admit
認得,見覚えがある/知っている,ㄖㄣˋ ˙ㄉㄜ,rènde,状態動詞,5,common,ai,word,,,to recognize; to remember sth (or sb) on seeing it; to know
扔,投げる/捨てる,ㄖㄥ,rēng,変化動詞,5,common,ai,word,,,to throw; to throw away
仍,依然として/まだ,ㄖㄥˊ,réng,副詞,5,common,ai,word,,,still; yet; to remain; (literary) frequently; often
仍然,依然として/相変わらず,ㄖㄥˊ ㄖㄢˊ,réngrán,副詞,5,common,ai,word,,,still; as before; yet
人家,家庭/他人,ㄖㄣˊ ㄐㄧㄚ,rénjiā,名詞,5,common,ai,word,,,household; dwelling; family ‖ other people
人間,世の中/この世,ㄖㄣˊ ㄐㄧㄢ,rénjiān,名詞,5,common,ai,word,,,the human world; the earth
人們,人々,ㄖㄣˊ ˙ㄇㄣ,rénmen,名詞,5,common,ai,word,,,people
人民,人民/国民,ㄖㄣˊ ㄇㄧㄣˊ,rénmín,名詞,5,common,ai,word,,,the people; CL:個|个[ge4]
人人,誰でも/皆,ㄖㄣˊ ㄖㄣˊ,rénrén,名詞,5,common,ai,word,,,everyone; every person
人數,人数,ㄖㄣˊ ㄕㄨˋ,rénshù,名詞,5,common,ai,word,,,number of people
人物,人物/キャラクター,ㄖㄣˊ ㄨˋ,rénwù,名詞,5,common,ai,word,,,"person; personage; figure (esp. sb of importance); character (in a play, novel etc); (genre of traditional Chinese paint"
忍耐,忍耐する/我慢する,ㄖㄣˇ ㄋㄞˋ,rěnnài,状態動詞,5,common,ai,word,,,to endure; to bear with; to exercise patience
任務,任務/仕事/役割,ㄖㄣˋ ㄨˋ,rènwù,名詞,5,common,ai,word,,,"mission; assignment; task; duty; role; CL:項|项[xiang4],個|个[ge4]"
熱水,お湯,ㄖㄜˋ ㄕㄨㄟˇ,rèshuǐ,名詞,5,common,ai,word,,,hot water
日出,日の出,ㄖˋ ㄔㄨ,rìchū,自動詞,5,common,ai,word,,,sunrise
日期,日付,ㄖˋ ㄑㄧˊ,rìqí,名詞,5,common,ai,word,,,date; CL:個|个[ge4]
如,〜のようだ/〜のように,ㄖㄨˊ / ㄖㄨˊ,rú / rú,接続詞/介詞(前置詞)/状態動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,as; as if; such as
如此,このような/このように,ㄖㄨˊ ㄘˇ / ㄖㄨˊ ㄘˇ,rúcǐ / rúcǐ,状態動詞(形容詞)/副詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,like this; so; such
如下,以下の通り,ㄖㄨˊ ㄒㄧㄚˋ,rúxià,状態動詞(形容詞),5,common,ai,word,,,as follows
如意,思い通り/満足な,ㄖㄨˊ ㄧˋ,rúyì,状態動詞(形容詞),5,common,ai,word,,,"as one wants; according to one's wishes; ruyi scepter, a symbol of power and good fortune"
弱,弱い/劣る,ㄖㄨㄛˋ,ruò,状態動詞(形容詞),5,common,ai,word,,,weak; feeble; young; inferior; not as good as
失戀,失恋する,ㄕ ㄌㄧㄢˋ,shīliàn,変化動詞,5,common,ai,word,,,to lose one's love; to break up (in a romantic relationship); to feel jilted
失去,失う,ㄕ ㄑㄩˋ,shīqù,変化動詞,5,common,ai,word,,,to lose
獅,ライオン,ㄕ(ㄗ˙),shī(zi),名詞,5,common,ai,word,,原表記: 獅(子),(bound form) lion
十分,非常に/完全に,ㄕˊ ㄈㄣ,shífēn,副詞,5,common,ai,word,,,very; completely; utterly
實話,本当のこと,ㄕˊ ㄏㄨㄚˋ,shíhuà,名詞,5,common,ai,word,,,truth
實際,現実/実際的な,ㄕˊ ㄐㄧˋ,shíjì,状態動詞(形容詞),5,common,ai,word,,,reality; practice; practical
時刻,時/瞬間,ㄕˊ ㄎㄜˋ,shíkè,名詞,5,common,ai,word,,,time; juncture; moment
實力,実力,ㄕˊ ㄌㄧˋ,shílì,名詞,5,common,ai,word,,,strength
石頭,石,ㄕˊ ˙ㄊㄡ,shítou/shí,名詞,5,common,ai,word,,原表記: 石頭(˙ㄊㄡ) /石,stone; CL:塊|块[kuai4]
實行,実行する,ㄕˊ ㄒㄧㄥˊ,shíxíng,動詞,5,common,ai,word,,,to implement; to carry out; to put into practice
實在,本当に/誠実な,ㄕˊ ㄗㄞˋ / ㄕˊ ㄗㄞˋ,shízài / shízài,状態動詞(形容詞)/副詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,really; actually; indeed
使得,実行可能だ/〜させる,ㄕˇ ˙ㄉㄜ,shǐde,状態動詞,5,common,ai,word,,,usable; serviceable; feasible; workable; doable; to make; to cause; to bring about
使用,使用する,ㄕˇ ㄩㄥˋ,shǐyòng,動詞,5,common,ai,word,,,to use; to employ; to apply
事業,事業/仕事,ㄕˋ ㄧㄝˋ,shìyè,名詞,5,common,ai,word,,,undertaking; project; activity
事實,事実,ㄕˋ ㄕˊ,shìshí,名詞,5,common,ai,word,,,fact; CL:個|个[ge4]
適應,適応する/慣れる,ㄕˋ ㄧㄥˋ,shìyìng,状態動詞,5,common,ai,word,,,to adapt; to fit; to suit
殺,殺す/攻撃する/減らす/しみる,ㄕㄚ,shā,動詞,5,common,ai,word,,,to kill; to slay; to murder; to attack; to weaken; to reduce; (dialect) to smart
晒,日光に当てる/干す,ㄕㄞˋ,shài,動詞,5,common,ai,word,,,variant of 曬|晒[shai4]
傷害,傷つける/危害/損傷,ㄕㄤ ㄏㄞˋ / ㄕㄤ ㄏㄞˋ,shānghài / shānghài,動詞/名詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to injure; to harm
商品,商品/品物,ㄕㄤ ㄆㄧㄣˇ,shāngpǐn,名詞,5,common,ai,word,,,commodity; goods; merchandise; CL:件[jian4]
商業,ビジネス/商業,ㄕㄤ ㄧㄝˋ,shāngyè,名詞,5,common,ai,word,,,business; trade; commerce
上,乗る/上 / 上の/登る/乗る,ㄕㄤˋ / ㄕㄤˋ / ㄕㄤˋ,shàng / shàng / shàng,限定詞/動詞,4,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,(bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up
上當,騙される,ㄕㄤˋ ㄉㄤˋ,shàngdàng,変化動詞,5,common,ai,word,,,taken in (by sb's deceit); to be fooled; to be duped
上帝,神,ㄕㄤˋ ㄉㄧˋ,shàngdì,名詞,5,common,ai,word,,,God
上街,街に出る/買い物に行く,ㄕㄤˋ ㄐㄧㄝ,shàngjiē,自動詞,5,common,ai,word,,,to go onto the streets; to go shopping
山區,山間部,ㄕㄢ ㄑㄩ,shānqū,名詞,5,common,ai,word,,,mountain area; CL:個|个[ge4]
燒,燃やす/煮炊きする,ㄕㄠ,shāo,動詞,5,common,ai,word,,,to burn; to cook; to stew
少,少ない / 少ない/不足する/若い,ㄕㄠˇ / ㄕㄠˇ,shǎo / shǎo,副詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,few; less; to lack ‖ young
蛇,ヘビ,ㄕㄜˊ,shé,名詞,5,common,ai,word,,,snake; serpent; CL:條|条[tiao2]
設備,設備/備品,ㄕㄜˋ ㄅㄟˋ,shèbèi,名詞,5,common,ai,word,,,equipment; facilities; installations; CL:個|个[ge4]
設計,設計する/計画/デザイン,ㄕㄜˋ ㄐㄧˋ,shèjì,名詞/動詞,5,common,ai,word,,,to design; to plan; design; plan
升,昇る/昇進する/リットル,ㄕㄥ / ㄕㄥ,shēng / shēng,動詞/変化動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to ascend; to rise; to promote; to elevate; liter
聲,声/音,ㄕㄥ,shēng,量詞,5,common,ai,word,,,sound; voice; tone
生,生まれる/産む/生命,ㄕㄥ / ㄕㄥ,shēng / shēng,動詞/状態動詞(連体用),5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to be born; to give birth; life
生產,生産する/出産する,ㄕㄥ ㄔㄢˇ,shēngchǎn,動詞,5,common,ai,word,,,to produce; to manufacture; to give birth to a child
聲調,声調/トーン,ㄕㄥ ㄉㄧㄠˋ,shēngdiào,名詞,5,common,ai,word,,,tone; note; a tone (on a Chinese syllable)
