headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes,en_ref
有名,有名だ,ㄧㄡˇ ㄇㄧㄥˊ,yǒumíng,状態動詞(形容詞),4,common,ai,word,social,,famous; well-known
自由,自由/自由だ,ㄗˋ ㄧㄡˊ,zìyóu,名詞/状態動詞(形容詞),4,common,ai,word,social,,freedom; liberty; free; unrestricted; CL:種|种[zhong3]
社會,社会,ㄕㄜˋ ㄏㄨㄟˋ,shèhuì,名詞,4,common,ai,word,social,,society; CL:個|个[ge4]
時差,時差,ㄕˊ ㄔㄚ,shíchā,名詞,4,common,ai,word,travel,,time difference; time lag; jet lag
市區,市街地/市内,ㄕˋ ㄑㄩ,shìqū,名詞,4,common,ai,word,travel,,urban district; downtown; city center
溫泉,温泉,ㄨㄣ ㄑㄩㄢˊ,wēnquán,名詞,4,common,ai,word,travel,,see 溫泉縣|温泉县[Wen1quan2 Xian4] ‖ hot spring
公路,幹線道路/ハイウェイ,ㄍㄨㄥ ㄌㄨˋ,gōnglù,名詞,4,common,ai,word,travel,,highway; road; CL:條|条[tiao2]
速度,速度/スピード,ㄙㄨˋ ㄉㄨˋ,sùdù,名詞,4,common,ai,word,travel,,speed; rate; velocity
到處,いたるところ/あちこち,ㄉㄠˋ ㄔㄨˋ,dàochù,副詞,4,common,ai,word,travel,,everywhere
地點,地点/場所,ㄉㄧˋ ㄉㄧㄢˇ,dìdiǎn,名詞,4,common,ai,word,travel,,place; site; location
巴士,バス,ㄅㄚ ㄕˋ,bāshì,名詞,4,common,ai,word,travel,,bus (loanword); motor coach
加油,頑張る/給油する,ㄐㄧㄚ ㄧㄡˊ,jiāyóu,自動詞,4,common,ai,word,travel,,to add oil; to top up with gas; to refuel; to accelerate; to step on the gas; (fig.) to make an extra effort; to cheer s
摩托車,バイク/スクーター,ㄇㄛˊ ㄊㄨㄛ ㄔㄜ,mótuōchē/jīchē,名詞,4,common,ai,word,travel,原表記: 摩托車/機車,"(loanword) motorbike; motorcycle; CL:輛|辆[liang4],部[bu4]"
船,船,ㄔㄨㄢˊ,chuán/chuánr,名詞,4,common,ai,word,travel,原表記: 船/船兒,boat; vessel; ship
地鐵,地下鉄,ㄉㄧˋ ㄊㄧㄝˇ,dìtiě,名詞,4,common,ai,word,travel,,underground railway; subway; subway train
捷運,MRT(台湾の都市鉄道),ㄐㄧㄝˊ ㄩㄣˋ,jiéyùn,名詞,4,common,ai,word,travel,,(Tw) mass rapid transit (MRT); subway
停車場,駐車場,ㄊㄧㄥˊ ㄔㄜ ㄔㄤˇ,tíngchēchǎng,名詞,4,common,ai,word,travel,,parking lot; car park
月台,(駅の)ホーム,ㄩㄝˋ ㄊㄞˊ,yuètái,名詞,4,common,ai,word,travel,,
搭,(乗り物に)乗る,ㄉㄚ,dā,動詞,4,common,ai,word,travel,,to put up; to build (scaffolding); to hang (clothes on a pole)
飛,飛ぶ,ㄈㄟ,fēi,自動詞,4,common,ai,word,travel,,to fly
下,降りる/下,ㄒㄧㄚˋ,xià,動詞,4,common,ai,word,travel,,down; downwards; below
上,乗る/上,ㄕㄤˋ,shàng,動詞,4,common,ai,word,travel,,(bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up
這些,これら,ㄓㄜˋ ㄒㄧㄝ,zhèxiē,限定詞,4,common,ai,word,travel,,these
那些,それら/あれら,ㄋㄚˋ ㄒㄧㄝ,nàxiē,限定詞,4,common,ai,word,travel,,those
東方,東方/東洋,ㄉㄨㄥ ㄈㄤ,dōngfāng,名詞,4,common,ai,word,travel,,the East; the Orient; two-character surname Dongfang ‖ east
非洲,アフリカ,ㄈㄟ ㄓㄡ,fēizhōu,名詞,4,common,ai,word,travel,,Africa; abbr. for 阿非利加洲[A1 fei1 li4 jia1 Zhou1]
美洲,アメリカ大陸,ㄇㄟˇ ㄓㄡ,měizhōu,名詞,4,common,ai,word,travel,,"America (including North, Central and South America); the Americas; abbr. for 亞美利加洲|亚美利加洲[Ya4 mei3 li4 jia1 Zhou1]"
歐洲,ヨーロッパ,ㄡ ㄓㄡ,ōuzhōu,名詞,4,common,ai,word,travel,,Europe (abbr. for 歐羅巴洲|欧罗巴洲[Ou1luo2ba1 Zhou1])
亞洲,アジア,ㄧㄚˋ ㄓㄡ,yàzhōu,名詞,4,common,ai,word,travel,,Asia (abbr. for 亞細亞洲|亚细亚洲[Ya4xi4ya4 Zhou1])
大陸,大陸/中国大陸,ㄉㄚˋ ㄌㄨˋ,dàlù,名詞,4,common,ai,word,travel,,mainland China (reference to the PRC) ‖ continent; mainland
動,動く,ㄉㄨㄥˋ,dòng,変化動詞,4,common,ai,word,travel,,(of sth) to move; to set in movement; to displace
起,起きる/始まる,ㄑㄧˇ,qǐ,助詞,4,common,ai,word,travel,,to rise; to raise; to get up
停,止まる/停める,ㄊㄧㄥˊ,tíng,変化動詞,4,common,ai,word,travel,,to stop; to halt; to park (a car)
中心,中心/センター,ㄓㄨㄥ ㄒㄧㄣ,zhōngxīn,名詞,4,common,ai,word,travel,,center; heart; core
簽證,ビザ/査証,ㄑㄧㄢ ㄓㄥˋ,qiānzhèng,名詞,4,common,ai,word,travel,,visa; to issue a visa
行李,荷物,ㄒㄧㄥˊ ㄌㄧˇ,xínglǐ,名詞,4,common,ai,word,travel,,luggage; CL:件[jian4]
背包,リュックサック,ㄅㄟ ㄅㄠ,bēibāo,名詞,4,common,ai,word,travel,,knapsack; rucksack; infantry pack
鎖,鍵/鍵をかける,ㄙㄨㄛˇ,suǒ,名詞/動詞,4,common,ai,word,travel,,to lock; to lock up; a lock (CL:把[ba3])
入口,入口,ㄖㄨˋ ㄎㄡˇ,rùkǒu,名詞,4,common,ai,word,travel,,entrance; to import
出口,出口,ㄔㄨ ㄎㄡˇ,chūkǒu,名詞,4,common,ai,word,travel,,an exit; CL:個|个[ge4]; to speak
油,油/ガソリン,ㄧㄡˊ,yóu,名詞,4,common,ai,word,travel,,oil; fat; grease
鑰匙,鍵(キー),ㄧㄠˋ ˙ㄕ,yàoshi,名詞,4,common,ai,word,travel,,key; CL:把[ba3]
方向,方向,ㄈㄤ ㄒㄧㄤˋ,fāngxiàng,名詞,4,common,ai,word,travel,,direction; orientation; CL:個|个[ge4]
交通,交通,ㄐㄧㄠ ㄊㄨㄥ,jiāotōng,名詞,4,common,ai,word,travel,,to be connected; traffic; transportation
標準,標準/基準,ㄅㄧㄠ ㄓㄨㄣˇ,biāozhǔn,名詞/状態動詞(形容詞),4,common,ai,word,travel,,standard; norm; criterion; (adjective) standard; good; correct; conforming to a standard
拍照,写真を撮る,ㄆㄞ ㄓㄠˋ,pāizhào,離合動詞,4,common,ai,word,travel,,to take a picture
腿,脚,ㄊㄨㄟˇ,tuǐ,名詞,4,common,ai,word,health,,leg; CL:條|条[tiao2]
背,背中/背負う,ㄅㄟˋ,bèi,名詞,4,common,ai,word,health,,to be burdened; to carry on the back or shoulder ‖ the back of a body or object
脖,首,ㄅㄛˊ(ㄗ˙),bó(zi),名詞,4,common,ai,word,health,原表記: 脖(子),neck
汗,汗,ㄏㄢˋ,hàn,名詞,4,common,ai,word,health,,"see 可汗[ke4 han2], 汗國|汗国[han2 guo2] ‖ perspiration"
臉色,顔色,ㄌㄧㄢˇ ㄙㄜˋ,liǎnsè,名詞,4,common,ai,word,health,,complexion; look
救護車,救急車,ㄐㄧㄡˋ ㄏㄨˋ ㄔㄜ,jiùhùchē,名詞,4,common,ai,word,health,,ambulance; CL:輛|辆[liang4]
咳嗽,咳をする,ㄎㄜˊ ㄙㄡˋ,késòu,自動詞,4,common,ai,word,health,,to cough; CL:陣|阵[zhen4]
發燒,熱が出る,ㄈㄚ ㄕㄠ,fāshāo,Vp-sep,4,common,ai,word,health,,to have a high temperature (from illness); to have a fever; (fig.) to be fascinated with; to obsess over; (fig.) flouris
頭痛,頭痛/頭が痛い,ㄊㄡˊ ㄊㄨㄥˋ,tóutòng,状態動詞(形容詞),4,common,ai,word,health,,to have a headache
疼,痛い/かわいがる,ㄊㄥˊ,téng,状態動詞(形容詞),4,common,ai,word,health,,(it) hurts; sore; to love dearly
保險,保険,ㄅㄠˇ ㄒㄧㄢˇ,bǎoxiǎn,名詞,4,common,ai,word,health,,insurance; to insure; safe
掛號,受付する(病院)/書留,ㄍㄨㄚˋ ㄏㄠˋ,guàhào,離合動詞,4,common,ai,word,health,,to register (at a hospital etc); to send by registered mail
牙刷,歯ブラシ,ㄧㄚˊ ㄕㄨㄚ,yáshuā,名詞,4,common,ai,word,health,,toothbrush; CL:把[ba3]
藥房,薬局,ㄧㄠˋ ㄈㄤˊ,yàofáng,名詞,4,common,ai,word,health,,pharmacy; drugstore; dispensary
救命,助けて!/命を救う,ㄐㄧㄡˋ ㄇㄧㄥˋ,jiùmìng,離合動詞,4,common,ai,word,health,,to save sb's life; (interj.) Help!; Save me!
影響,影響/影響する,ㄧㄥˇ ㄒㄧㄤˇ,yǐngxiǎng,名詞/動詞,4,common,ai,word,health,,influence; effect; to influence
感覺,感覚/感じる,ㄍㄢˇ ㄐㄩㄝˊ,gǎnjué,名詞/状態動詞,4,common,ai,word,health,,feeling; impression; sensation; to feel; to perceive
精神,元気/精神,ㄐㄧㄥ ㄕㄣˊ,jīngshén,名詞,4,common,ai,word,health,,spirit; mind; consciousness ‖ vigor; vitality
正常,正常だ,ㄓㄥˋ ㄔㄤˊ,zhèngcháng,状態動詞(形容詞),4,common,ai,word,health,,regular; normal; ordinary
花,使う(お金・時間)/花,ㄏㄨㄚ,huā,動詞,4,common,ai,word,shopping,,"flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]"
有錢,金持ちだ,ㄧㄡˇ ㄑㄧㄢˊ,yǒuqián,状態動詞(形容詞),4,common,ai,word,shopping,,well-off; wealthy
生意,商売/ビジネス,ㄕㄥ ㄧˋ,shēngyì,名詞,4,common,ai,word,shopping,,life force; vitality ‖ business
商人,商人/ビジネスマン,ㄕㄤ ㄖㄣˊ,shāngrén,名詞,4,common,ai,word,shopping,,merchant; businessman
老闆娘,女将/女性オーナー,ㄌㄠˇ ㄅㄢˇ ㄋㄧㄤˊ,lǎobǎnniáng,名詞,4,common,ai,word,shopping,原表記: 老闆娘/老板娘,female proprietor; lady boss; boss's wife
店員,店員,ㄉㄧㄢˋ ㄩㄢˊ,diànyuán,名詞,4,common,ai,word,shopping,,shop assistant; salesclerk; salesperson
訂,予約する/注文する,ㄉㄧㄥˋ,dìng,動詞,4,common,ai,word,shopping,,to agree; to conclude; to draw up
訂位,席を予約する,ㄉㄧㄥˋ ㄨㄟˋ,dìngwèi,離合動詞,4,common,ai,word,shopping,,to reserve a seat; to book a table; reservation
得到,得る/手に入れる,ㄉㄜˊ ㄉㄠˋ,dédào,変化動詞,4,common,ai,word,shopping,,to get; to obtain; to receive
困難,困難/難しい,ㄎㄨㄣˋ ㄋㄢˊ,kùnnán,名詞/状態動詞(形容詞),4,common,ai,word,shopping,,difficult; challenging; straitened circumstances
百貨公司,デパート,ㄅㄞˇ ㄏㄨㄛˋ ㄍㄨㄥ ㄙ,bǎihuògōngsī,名詞,4,common,ai,word,shopping,,department store
夜市,夜市/ナイトマーケット,ㄧㄝˋ ㄕˋ,yèshì,名詞,4,common,ai,word,shopping,,night market
逛,ぶらぶらする,ㄍㄨㄤˋ,guàng,動詞,4,common,ai,word,shopping,,to stroll; to visit
逛街,街をぶらつく/ショッピングする,ㄍㄨㄤˋ ㄐㄧㄝ,guàngjiē,離合動詞,4,common,ai,word,shopping,,to take a walk; to window-shop; to stroll down the street
排隊,列に並ぶ,ㄆㄞˊ ㄉㄨㄟˋ,páiduì,離合動詞,4,common,ai,word,shopping,,to line up
客滿,満席/満員,ㄎㄜˋ ㄇㄢˇ,kèmǎn,変化動詞,4,common,ai,word,shopping,,to have a full house; to be sold out; no vacancy
刷卡,カードで払う,ㄕㄨㄚ ㄎㄚˇ,shuākǎ,離合動詞,4,common,ai,word,shopping,,"to use a credit card (or swipe card, smart card etc)"
提,提げる/持ち出す,ㄊㄧˊ,tí,動詞,4,common,ai,word,shopping,,to carry (hanging down from the hand); to lift; to put forward
流行,流行する/はやりの,ㄌㄧㄡˊ ㄒㄧㄥˊ,liúxíng,状態動詞(形容詞),4,common,ai,word,shopping,,"(of a contagious disease etc) to spread; to propagate; (of a style of clothing, song etc) popular"
藍色,青色,ㄌㄢˊ ㄙㄜˋ,lánsè,名詞,4,common,ai,word,shopping,,blue (color)
綠色,緑色,ㄌㄩˋ ㄙㄜˋ,lǜsè,名詞,4,common,ai,word,shopping,,green
紅色,赤色,ㄏㄨㄥˊ ㄙㄜˋ,hóngsè,名詞,4,common,ai,word,shopping,,red (color); revolutionary
黑色,黒色,ㄏㄟ ㄙㄜˋ,hēisè,名詞,4,common,ai,word,shopping,,black
毛衣,セーター,ㄇㄠˊ ㄧ,máoyī,名詞,4,common,ai,word,shopping,,(wool) sweater; CL:件[jian4]
雨衣,レインコート,ㄩˇ ㄧ,yǔyī,名詞,4,common,ai,word,shopping,,raincoat; CL:件[jian4]
內衣,下着,ㄋㄟˋ ㄧ,nèiyī,名詞,4,common,ai,word,shopping,,undergarment; underwear; CL:件[jian4]
上衣,上着/トップス,ㄕㄤˋ ㄧ,shàngyī,名詞,4,common,ai,word,shopping,,jacket; upper outer garment; CL:件[jian4]
皮鞋,革靴,ㄆㄧˊ ㄒㄧㄝˊ,píxié,名詞,4,common,ai,word,shopping,,leather shoes
手套,手袋,ㄕㄡˇ ㄊㄠˋ,shǒutào,名詞,4,common,ai,word,shopping,,"glove; mitten; CL:雙|双[shuang1],隻|只[zhi1]"
口袋,ポケット,ㄎㄡˇ ㄉㄞˋ,kǒudài,名詞,4,common,ai,word,shopping,,pocket; bag; sack
小費,チップ,ㄒㄧㄠˇ ㄈㄟˋ,xiǎofèi,名詞,4,common,ai,word,shopping,,tip; gratuity
打折,割引する,ㄉㄚˇ ㄓㄜˊ,dǎzhé,離合動詞,4,common,ai,word,shopping,,to give a discount
零錢,小銭,ㄌㄧㄥˊ ㄑㄧㄢˊ,língqián,名詞,4,common,ai,word,shopping,,change (of money); small change; pocket money
零用錢,お小遣い,ㄌㄧㄥˊ ㄩㄥˋ ㄑㄧㄢˊ,língyòngqián,名詞,4,common,ai,word,shopping,,pocket money; allowance; spending money
存,貯める/預ける,ㄘㄨㄣˊ,cún,動詞,4,common,ai,word,shopping,,to exist; to deposit; to store
毛,〜角(0.1元)/毛,ㄇㄠˊ,máo,量詞,4,common,ai,word,shopping,,hair; feather; down
高級,高級だ,ㄍㄠ ㄐㄧˊ,gāojí,状態動詞(形容詞),4,common,ai,word,shopping,,high level; high grade; advanced
一般,一般的だ/普通の,ㄧ ㄅㄢ,yībān,状態動詞(形容詞),4,common,ai,word,shopping,,same; ordinary; so-so
合適,ちょうどいい/ふさわしい,ㄏㄜˊ ㄕˋ,héshì,状態動詞(形容詞),4,common,ai,word,shopping,,suitable; fitting; appropriate
適合,適している/合う,ㄕˋ ㄏㄜˊ,shìhé,状態動詞,4,common,ai,word,shopping,,to fit; to suit
圓,丸い/円,ㄩㄢˊ,yuán,状態動詞(形容詞),4,common,ai,word,shopping,,circle; round; circular
光,なくなるまで〜する(売り切れ等)/光,ㄍㄨㄤ,guāng,変化動詞,4,common,ai,word,shopping,,light; ray (CL:道[dao4]); bright; shiny; only; merely
死,死ぬ,ㄙˇ,sǐ,変化動詞,4,common,ai,word,shopping,,to die; impassable; uncrossable
髒,汚い,ㄗㄤ,zāng,状態動詞(形容詞),4,common,ai,word,shopping,,dirty; filthy; to get (sth) dirty
破,破れている/壊れた,ㄆㄛˋ,pò,変化動詞,4,common,ai,word,shopping,,broken; damaged; worn out
袋,袋,ㄉㄞˋ,dài,量詞,4,common,ai,word,shopping,,pouch; bag; sack
套,〜セット/〜着(量詞),ㄊㄠˋ,tào,量詞,4,common,ai,word,shopping,,to cover; to encase; cover
沙拉,サラダ,ㄕㄚ ㄌㄚ,shālā,名詞,4,common,ai,word,food,,(loanword) salad
牛排,ステーキ,ㄋㄧㄡˊ ㄆㄞˊ,niúpái,名詞,4,common,ai,word,food,,steak
海鮮,海鮮/シーフード,ㄏㄞˇ ㄒㄧㄢ,hǎixiān,名詞,4,common,ai,word,food,,seafood
火腿,ハム,ㄏㄨㄛˇ ㄊㄨㄟˇ,huǒtuǐ,名詞,4,common,ai,word,food,,ham; CL:個|个[ge4]
熱狗,ホットドッグ,ㄖㄜˋ ㄍㄡˇ,règǒu,名詞,4,common,ai,word,food,,hot dog (loanword)
饅頭,マントウ(中華蒸しパン),ㄇㄢˊ ˙ㄊㄡ,mántou,名詞,4,common,ai,word,food,,steamed bun
米,米,ㄇㄧˇ,mǐ,名詞,4,common,ai,word,food,,uncooked rice; meter (unit of length); (slang) Chinese yuan
豆腐,豆腐,ㄉㄡˋ ˙ㄈㄨ,dòufu,名詞,4,common,ai,word,food,原表記: 豆腐(˙ㄈㄨ),tofu; bean curd
橘,ミカン,˙ㄐㄩˊ(ㄗ ),jú(zi ),名詞,4,common,ai,word,food,原表記: 橘(子),mandarin orange (Citrus reticulata); tangerine
葡萄,ブドウ,ㄆㄨˊ ˙ㄊㄠ,pútao,名詞,4,common,ai,word,food,原表記: 葡萄(˙ㄊㄠ),grape
芒果,マンゴー,ㄇㄤˊ ㄍㄨㄛˇ,mángguǒ,名詞,4,common,ai,word,food,,mango (loanword)
烏龍茶,ウーロン茶,ㄨ ㄌㄨㄥˊ ㄔㄚˊ,wūlóngchá,名詞,4,common,ai,word,food,,oolong tea
豆漿,豆乳,ㄉㄡˋ ㄐㄧㄤ,dòujiāng,名詞,4,common,ai,word,food,,soy milk
可樂,コーラ,ㄎㄜˇ ㄌㄜˋ,kělè,名詞,4,common,ai,word,food,,amusing; entertaining; (loanword) cola
奶茶,ミルクティー,ㄋㄞˇ ㄔㄚˊ,nǎichá,名詞,4,common,ai,word,food,,milk tea
汽水,サイダー/炭酸飲料,ㄑㄧˋ ㄕㄨㄟˇ,qìshuǐ,名詞,4,common,ai,word,food,,soda pop; carbonated soft drink
冰塊,氷,ㄅㄧㄥ ㄎㄨㄞˋ,bīngkuài/bīngkuàir,名詞,4,common,ai,word,food,原表記: 冰塊/冰塊兒,ice cube; ice chunk
甜點,デザート/スイーツ,ㄊㄧㄢˊ ㄉㄧㄢˇ,tiándiǎn,名詞,4,common,ai,word,food,,dessert
餅乾,ビスケット/クッキー,ㄅㄧㄥˇ ㄍㄢ,bǐnggān,名詞,4,common,ai,word,food,,"biscuit; cracker; cookie; CL:片[pian4],塊|块[kuai4]"
鹽,塩,ㄧㄢˊ,yán,名詞,4,common,ai,word,food,,salt; CL:粒[li4]
味,味,ㄨㄟˋ,wèi/wèir,名詞,4,common,ai,word,food,原表記: 味/味兒,taste; smell; (fig.) (noun suffix) feel
聞,嗅ぐ,ㄨㄣˊ,wén,動詞,4,common,ai,word,food,,to hear; news; well-known
臭,臭い,ㄔㄡˋ,chòu,状態動詞(形容詞),4,common,ai,word,food,,stench; smelly; to smell (bad) ‖ sense of smell
口,〜口(ひとくちの量詞)/口,ㄎㄡˇ,kǒu,量詞,4,common,ai,word,food,,"mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfu"
罐,〜缶(量詞)/缶,ㄍㄨㄢˋ,guàn,量詞,4,common,ai,word,food,,can; jar; pot
顆,〜粒(丸いものの量詞),ㄎㄜ,kē,量詞,4,common,ai,word,food,,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc"
任何,いかなる〜も,ㄖㄣˋ ㄏㄜˊ,rènhé,限定詞,4,common,ai,word,food,,any; whatever; whichever
許多,多くの/たくさんの,ㄒㄩˇ ㄉㄨㄛ,xǔduō,限定詞,4,common,ai,word,food,,many; a lot of; much
新鮮,新鮮だ,ㄒㄧㄣ ˙ㄒㄧㄢ,xīnxian,状態動詞(形容詞),4,common,ai,word,food,原表記: 新鮮(˙ㄒㄧㄢ),"fresh (experience, food etc); freshness; novel"
熟,熟している/火が通った/よく知っている,ㄕㄡˊ,shóu,状態動詞(形容詞),4,common,ai,word,food,,ripe; mature; thoroughly cooked; done; familiar; acquainted
炒,炒める,ㄔㄠˇ,chǎo,動詞,4,common,ai,word,food,,to sauté; to stir-fry; to speculate (in real estate etc); to scalp; to hype up
炸,揚げる,ㄓㄚˊ,zhá,動詞,4,common,ai,word,food,,to deep fry; (coll.) to blanch (a vegetable); Taiwan pr. [zha4] ‖ to burst; to explode
嚐,味わう/味見する,ㄔㄤˊ,cháng,動詞,4,common,ai,word,food,原表記: 嚐/嘗,to taste; to experience (variant of 嘗|尝[chang2])
裝,入れる/装う/取り付ける,ㄓㄨㄤ,zhuāng,動詞,4,common,ai,word,food,,adornment; to adorn; dress
不用,〜しなくてよい,ㄅㄨˋ ㄩㄥˋ,bùyòng,副詞,4,common,ai,word,,,need not
不但,〜だけでなく,ㄅㄨˋ ㄉㄢˋ,bùdàn,接続詞,4,common,ai,word,,,not only (... but also ...)
不必,〜する必要はない,ㄅㄨˋ ㄅㄧˋ,bùbì,助動詞,4,common,ai,word,,,need not; does not have to; not necessarily
不得了,大変だ/ものすごい,ㄅㄨˋ ㄉㄜˊ ㄌㄧㄠˇ,bùdéliǎo,状態動詞(形容詞),4,common,ai,word,,,desperately serious; disastrous; extremely
不管,〜にかかわらず,ㄅㄨˋ ㄍㄨㄢˇ,bùguǎn,接続詞,4,common,ai,word,,,not to be concerned; regardless of; no matter
只好,〜するしかない,ㄓˇ ㄏㄠˇ,zhǐhǎo,副詞,4,common,ai,word,,,to have no other option but to ...; to have to; to be forced to
或,あるいは,ㄏㄨㄛˋ,huò,接続詞,4,common,ai,word,,,maybe; perhaps; might
可能,〜かもしれない/可能性,ㄎㄜˇ ㄋㄥˊ,kěnéng,名詞,4,common,ai,word,,,might (happen); possible; probable
而且,しかも/その上,ㄦˊ ㄑㄧㄝˇ,érqiě,接続詞,4,common,ai,word,,,(not only ...) but also; moreover; in addition
原來,なんだ〜だったのか/もともと,ㄩㄢˊ ㄌㄞˊ,yuánlái,副詞,4,common,ai,word,,,"original; former; originally; formerly; at first; so, actually, as it turns out"
也許,もしかしたら/たぶん,ㄧㄝˇ ㄒㄩˇ,yěxǔ,副詞,4,common,ai,word,,,perhaps; maybe
必須,必ず〜しなければならない,ㄅㄧˋ ㄒㄩ,bìxū,副詞,4,common,ai,word,,,to have to; must; compulsory
多麼,なんと/どんなに,ㄉㄨㄛ ˙ㄇㄜ,duōme,副詞,4,common,ai,word,,,how (wonderful etc); what (a great idea etc); however (difficult it may be etc)
這樣,このように/こんな,ㄓㄜˋ ㄧㄤˋ,zhèyàng,状態動詞(形容詞),4,common,ai,word,,,this kind of; so; this way
那樣,そのように/あんな,ㄋㄚˋ ㄧㄤˋ,nàyàng,副詞/状態動詞(形容詞),4,common,ai,word,,,that kind; that sort
等,〜など,ㄉㄥˇ,děng/děngděng,助詞,4,common,ai,word,,原表記: 等/等等,to wait for; to await; by the time; when; till; and so on; etc.; et al.
別的,他の/別の,ㄅㄧㄝˊ ˙ㄉㄜ,biéde,限定詞,4,common,ai,word,,,else; other
除了,〜を除いて/〜のほかに,ㄔㄨˊ ˙ㄌㄜ,chúle,介詞(前置詞),4,common,ai,word,,,besides; apart from (... also...); in addition to
從來,これまで(〜ない),ㄘㄨㄥˊ ㄌㄞˊ,cónglái,副詞,4,common,ai,word,,,always; at all times; never (if used in negative sentence)
大概,たぶん/おおよそ,ㄉㄚˋ ㄍㄞˋ,dàgài,副詞,4,common,ai,word,,,roughly; probably; rough
還好,まあまあだ/幸いにも,ㄏㄞˊ ㄏㄠˇ,háihǎo,副詞,4,common,ai,word,,,not bad; tolerable; fortunately
極,きわめて(〜極了),ㄐㄧˊ,jí,副詞,4,common,ai,word,,,"extremely; pole (geography, physics); utmost"
接著,続いて/引き続き,ㄐㄧㄝ ˙ㄓㄜ,jiēzhe,副詞,4,common,ai,word,,,to catch and hold on; to continue; to go on to do sth
結果,結果/結局,ㄐㄧㄝˊ ㄍㄨㄛˇ,jiéguǒ,接続詞,4,common,ai,word,,,to bear fruit ‖ outcome; result; consequence
立刻,すぐに/直ちに,ㄌㄧˋ ㄎㄜˋ,lìkè,副詞,4,common,ai,word,,,immediately; at once; right away
沒想到,思いがけず/まさか〜とは,ㄇㄟˊ ㄒㄧㄤˇ ㄉㄠˋ,méixiǎngdào,,4,common,ai,word,,,didn't expect
其實,実は,ㄑㄧˊ ㄕˊ,qíshí,副詞,4,common,ai,word,,,actually; in fact; really
其中,その中で,ㄑㄧˊ ㄓㄨㄥ,qízhōng,限定詞,4,common,ai,word,,,among; in; included among these
完全,完全に,ㄨㄢˊ ㄑㄩㄢˊ,wánquán,副詞,4,common,ai,word,,,complete; whole; totally; entirely
相當,かなり/相当,ㄒㄧㄤ ㄉㄤ,xiāngdāng,副詞,4,common,ai,word,,,equivalent to; appropriate; considerably
一切,一切/すべて,ㄧ ㄑㄧㄝˋ,yīqiè,限定詞,4,common,ai,word,,,everything; every; all
已,すでに,ㄧˇ,yǐ,副詞,4,common,ai,word,,,already; to stop; then
尤其,特に/とりわけ,ㄧㄡˊ ㄑㄧˊ,yóuqí,副詞,4,common,ai,word,,,especially; particularly
越,〜すればするほど,ㄩㄝˋ,yuè,副詞,4,common,ai,word,,,generic word for peoples or states of south China or south Asia at different historical periods; abbr. for Vietnam 越南 ‖ to exceed
整,まるまる/整った,ㄓㄥˇ,zhěng,限定詞,4,common,ai,word,,,(bound form) whole; complete; entire; (before a measure word) whole; (before or after number + measure word) exactly; (b
正,ちょうど〜している,ㄓㄥˋ,zhèng,副詞,4,common,ai,word,,,first month of the lunar year ‖ straight
只要,〜さえすれば,ㄓˇ ㄧㄠˋ,zhǐyào,接続詞,4,common,ai,word,,,so long as; provided; if
最好,〜するのが一番いい,ㄗㄨㄟˋ ㄏㄠˇ,zuìhǎo,副詞,4,common,ai,word,,,best; had better ...; it would be best to ...
同樣,同様の/同じく,ㄊㄨㄥˊ ㄧㄤˋ,tóngyàng,副詞/状態動詞(連体用),4,common,ai,word,,,same; equal; similar; similarly; also; too
空,空(から)の,ㄎㄨㄥ,kōng,状態動詞(形容詞),4,common,ai,word,,,empty; air; sky ‖ to empty
連,〜さえも,ㄌㄧㄢˊ,lián,接続詞/状態動詞,4,common,ai,word,,,to link; to join; to connect
倍,〜倍,ㄅㄟˋ,bèi,名詞,4,common,ai,word,,,"(two, three etc) -fold; times (multiplier); double"
包括,含む/含めて,ㄅㄠ ㄎㄨㄛˋ,bāokuò,状態動詞,4,common,ai,word,,,to comprise; to include; to involve
步,歩/歩み,ㄅㄨˋ,bù,量詞,4,common,ai,word,,,a step; a pace; walk
當時,当時,ㄉㄤ ㄕˊ,dāngshí,名詞,4,common,ai,word,,,then; at that time; while ‖ at once
等到,〜になったら/〜まで待つ,ㄉㄥˇ ㄉㄠˋ,děngdào,介詞(前置詞),4,common,ai,word,,,to wait until; by the time when (sth is ready etc)
煩,煩わしい/イライラする,ㄈㄢˊ,fán,状態動詞(形容詞),4,common,ai,word,,,to feel vexed; to bother; to trouble
剛好,ちょうど/たまたま,ㄍㄤ ㄏㄠˇ,gānghǎo,状態動詞(形容詞),4,common,ai,word,,,just; exactly; to happen to be
或者,あるいは/または,ㄏㄨㄛˋ ㄓㄜˇ,huòzhě,接続詞,4,common,ai,word,,,or; possibly; maybe; perhaps
哇,わあ!,ㄨㄚ,wā,助詞,4,common,ai,word,,,Wow!; sound of a child's crying; sound of vomiting ‖ replaces 啊[a5] when following the vowel 
需,必要とする,ㄒㄩ,xū,状態動詞,4,common,ai,word,,,to require; to need; to want
